source_path,target_url,status_code,preserve_query,enabled_after_cutover,notes
/2cabd14680548086b565c9d13c3f0223,https://www.huiwen.tw/petition.html,301,false,true,"path-only match also catches legacy pvs query; strip query"
/map,https://www.huiwen.tw/achievements.html,301,false,true,"legacy map route to native map/list page"
/2c8bd146805480508ec7dee2b2feffeb,https://www.huiwen.tw/council-records.html,301,false,true,"legacy council records hub"
/news,https://www.huiwen.tw/news.html,301,false,true,"legacy collection route"
/2c8bd14680548094b190f219067ee1ab,https://www.huiwen.tw/about.html,301,false,true,"legacy about UUID"
/laf,https://www.huiwen.tw/service.html#monthly-heading,301,false,true,"legal consultation intent"
/2c8bd146805480c7ba4dcdbbc6ba9682,https://www.huiwen.tw/service.html#monthly-heading,301,false,true,"legacy legal consultation UUID"
/2c8bd146805480a9aa71e4ef74241b1e,https://www.huiwen.tw/vision.html,301,false,true,"legacy platform/vision UUID"
/2c8bd1468054809dbea0e5282e0d819a,https://www.huiwen.tw/news.html,301,false,true,"legacy news UUID"
/2c3423934b0f44c5bbcb7bef4268e25c,https://www.huiwen.tw/achievement-fengshan-station-overview.html,301,false,true,"station integration hub"
/361bd1468054805dbaf6efe1dd3b3192,https://www.huiwen.tw/history-meilidao.html,301,false,true,"historical/human-rights successor"
/12-94d8f45d9d77442db517e752ec3e8107,https://www.huiwen.tw/history-kumamoto-relief.html,301,false,true,"verified evergreen Kaohsiung-Kumamoto relief successor"
/rehabilitationbus26,https://www.huiwen.tw/achievement-special-education-support.html,301,false,true,"special education transport/support successor"
/260709,https://www.huiwen.tw/achievement-bade-detention.html,301,false,true,"Bade detention successor"
/7-12-38dbd1468054803f8e1ddc7550860f5c,https://www.huiwen.tw/activity-market.html,301,false,true,"Wufu market event/story successor"
