legacy_url,normalized_path,title,topic,discovery_sources,http_status,index_visibility,seo_value,content_status,successor_url,action,verification_status,notes
https://www.huiwen.tw/,/,陳慧文 高雄市議員｜官方網站｜鳳山區,首頁與服務資訊,"live navigation; public search",200,public_search_confirmed,A,current,"https://www.huiwen.tw/",保留,confirmed,"網域不變；切換後首頁仍是同一 canonical URL，不建立 root-to-root redirect"
https://www.huiwen.tw/?pvs=18,/?pvs=18,陳慧文,首頁 query variant,live internal link,200,not_confirmed,B,duplicate,"https://www.huiwen.tw/",301,confirmed,"以 Cloudflare Single Redirect 精準移除 pvs=18；preserve query 關閉，避免 redirect chain"
https://www.huiwen.tw/2cabd14680548086b565c9d13c3f0223?pvs=96,/2cabd14680548086b565c9d13c3f0223?pvs=96,服務案件／網站聯絡,服務與陳情聯絡,live navigation,200,not_confirmed,A,reconciled,https://www.huiwen.tw/petition.html,301,confirmed,"舊頁主要內容為案件陳情、聯絡與服務時間、法律諮詢及網站問題回報；petition 已提供案件登記、電話、服務資訊與法律諮詢入口，並保留 footer 聯絡資料"
https://www.huiwen.tw/map?pvs=96,/map?pvs=96,陳慧文政績地圖,政績地圖,live navigation,200,not_confirmed,A,current,https://www.huiwen.tw/achievements.html,301,confirmed,"新站有文字清單與地圖替代入口"
https://www.huiwen.tw/2c8bd146805480508ec7dee2b2feffeb?pvs=96,/2c8bd146805480508ec7dee2b2feffeb?pvs=96,問政記錄,問政與議會紀錄,live navigation,200,not_confirmed,A,reconciled,https://www.huiwen.tw/council-records.html,301,confirmed,"舊頁僅收錄4-6總質詢；新 council-records hub 以高雄市議會官方資料承接第4屆總質詢與官方查詢入口"
https://www.huiwen.tw/news?pvs=96,/news?pvs=96,新聞發稿／最新動態,新聞與動態,live navigation,200,not_confirmed,A,current,https://www.huiwen.tw/news.html,301,confirmed,"clean successor 已存在"
https://www.huiwen.tw/2c8bd14680548094b190f219067ee1ab?pvs=96,/2c8bd14680548094b190f219067ee1ab?pvs=96,關於慧文,人物介紹,live navigation,200,not_confirmed,A,current,https://www.huiwen.tw/about.html,301,confirmed,"同主題 successor 已存在"
https://www.huiwen.tw/laf,/laf,鳳山免費法律諮詢 - 陳慧文議員服務處,法律諮詢,"live navigation; public search",200,public_search_confirmed,A,current,https://www.huiwen.tw/service.html#monthly-heading,301,confirmed,"保留法律諮詢 intent 並直接到律師時間表"
https://www.huiwen.tw/2c8bd146805480c7ba4dcdbbc6ba9682,/2c8bd146805480c7ba4dcdbbc6ba9682,鳳山免費法律諮詢 - 陳慧文議員服務處,法律諮詢,public search,200,public_search_confirmed,A,current,https://www.huiwen.tw/service.html#monthly-heading,301,confirmed,"Notion UUID URL 與 /laf 同一主題；兩者皆直接到相符 section"
https://www.huiwen.tw/2c8bd146805480a9aa71e4ef74241b1e,/2c8bd146805480a9aa71e4ef74241b1e,陳慧文｜政見｜願景｜高雄市議員｜鳳山,政見與願景,public search,200,public_search_confirmed,A,current,https://www.huiwen.tw/vision.html,301,confirmed,"新站政見頁已依選舉公報建置歷屆內容"
https://www.huiwen.tw/2c8bd1468054809dbea0e5282e0d819a,/2c8bd1468054809dbea0e5282e0d819a,新聞發稿／最新消息 | 陳慧文 高雄市議員 鳳山區,新聞與動態,public search,200,public_search_confirmed,A,current,https://www.huiwen.tw/news.html,301,confirmed,"舊新聞集合頁對應新站新聞頁"
